"","KEGG.Pathway","Sample.Type","N","mean","sd","se"
"135","Transcription","Large Intestine",5,2.49333246919482,0.161549353085736,0.072247067044164
"136","Transcription","Cloaca",2,3.07792771957111,0.264126340922653,0.186765526756398
"137","Translation","Small Intestine",4,4.16259388529361,0.577398893467097,0.288699446733549
"138","Translation","Ceca",5,3.83704369409038,0.744174835677863,0.332805103944088
"139","Translation","Large Intestine",5,3.90882735194425,0.441117311803262,0.197273659048813
"140","Translation","Cloaca",2,3.77809344816216,0.357231650920034,0.252600922820021
"141","Transport and Catabolism","Small Intestine",4,0.274622605280516,0.0481057466998638,0.0240528733499319
"142","Transport and Catabolism","Ceca",5,0.17833918497023,0.0324085730682745,0.0144935544868861
"143","Transport and Catabolism","Large Intestine",5,0.373912567440591,0.0528560237156172,0.0236379324096922
"144","Transport and Catabolism","Cloaca",2,0.208414839173832,0.0687017521813595,0.048579474846837
"145","Xenobiotics Biodegradation and Metabolism","Small Intestine",4,3.16974309581964,0.540297066027661,0.270148533013831
"146","Xenobiotics Biodegradation and Metabolism","Ceca",5,2.55021447315619,0.411238392138156,0.183911399955726
"147","Xenobiotics Biodegradation and Metabolism","Large Intestine",5,4.54648256263185,0.992111663071042,0.443685823979444
"148","Xenobiotics Biodegradation and Metabolism","Cloaca",2,2.85577212496813,0.3539087831021,0.250251300452974
